Time [s], RESP, PLETH, V, AVR, II
0.424,0.10557,0.57771,0.43922,0.52941,0.42941
0.432,0.10166,0.57185,0.50588,0.51961,0.41961
0.44,0.098729,0.56207,0.53922,0.52549,0.40392
0.448,0.094819,0.54741,0.56471,0.52549,0.38431
0.456,0.089932,0.53372,0.58039,0.5451,0.34902
0.464,0.086022,0.52102,0.59608,0.5549,0.33922
0.472,0.082111,0.50929,0.58039,0.53922,0.3549
0.48,0.078201,0.50244,0.56471,0.52941,0.38039
0.488,0.075269,0.49756,0.5549,0.53529,0.38039
0.496,0.070381,0.4956,0.5549,0.51961,0.3902
0.504,0.065494,0.49462,0.5451,0.51961,0.40392
0.512,0.060606,0.49365,0.53922,0.51961,0.39412
0.52,0.054741,0.49365,0.53922,0.5098,0.40392
0.528,0.048876,0.49365,0.52941,0.4902,0.42941
0.536,0.043988,0.49169,0.51961,0.48431,0.43529
0.544,0.038123,0.48876,0.51961,0.49412,0.43922
0.552,0.033236,0.4868,0.52549,0.47059,0.46078
0.56,0.028348,0.48387,0.53529,0.4549,0.48431
0.568,0.024438,0.48094,0.53922,0.43922,0.51569
0.576,0.022483,0.47801,0.52549,0.41961,0.55098
0.584,0.01955,0.47507,0.51961,0.38431,0.60588
0.592,0.01955,0.47116,0.51569,0.3549,0.6549
0.6,0.018573,0.46823,0.5098,0.32353,0.69608
0.608,0.01955,0.46334,0.5,0.30392,0.72549
0.616,0.021505,0.45846,0.5,0.29412,0.74118
0.624,0.02346,0.45357,0.4902,0.28431,0.75098
0.632,0.026393,0.44868,0.4902,0.2902,0.74118
0.64,0.030303,0.44379,0.47451,0.3098,0.71569
0.648,0.035191,0.43891,0.48431,0.33922,0.66471
0.656,0.042033,0.435,0.48431,0.38039,0.60588
0.664,0.049853,0.43109,0.4902,0.42549,0.5451
0.672,0.060606,0.4262,0.48431,0.46471,0.47451
0.68,0.070381,0.42326,0.5,0.5,0.42941
0.688,0.082111,0.42033,0.5098,0.51961,0.38431
0.696,0.094819,0.41838,0.51961,0.5451,0.3451
0.704,0.10753,0.41642,0.52549,0.56471,0.31961
0.712,0.12121,0.41447,0.52549,0.58039,0.3098
0.72,0.13392,0.41447,0.52549,0.58039,0.3098
0.728,0.14663,0.41349,0.52941,0.57059,0.3098
0.736,0.15934,0.41251,0.52549,0.57451,0.30392
0.744,0.17107,0.41251,0.51961,0.5902,0.29412
0.752,0.18475,0.41251,0.51569,0.58039,0.3
0.76,0.19746,0.41251,0.50588,0.56471,0.32941
0.768,0.21114,0.41251,0.5,0.57059,0.32941
0.776,0.22581,0.41349,0.5,0.57059,0.32353
0.784,0.23754,0.41544,0.50588,0.56078,0.33922
0.792,0.25024,0.4174,0.5098,0.56471,0.32941
0.8,0.26197,0.41935,0.51569,0.56471,0.33529
0.808,0.2737,0.42033,0.5,0.56078,0.33922
0.816,0.28446,0.42131,0.50588,0.56471,0.33922
0.824,0.29521,0.42131,0.50588,0.5549,0.33922
0.832,0.30596,0.42033,0.5,0.56078,0.33922
0.84,0.31672,0.41935,0.5,0.56471,0.33529
0.848,0.32845,0.41642,0.50588,0.56078,0.32941
0.856,0.34018,0.41447,0.5,0.57059,0.31961
0.864,0.35191,0.41349,0.5098,0.56471,0.32941
0.872,0.36364,0.41349,0.50588,0.56471,0.33529
0.88,0.37439,0.41642,0.53529,0.56078,0.33922
0.888,0.38514,0.42131,0.5549,0.5451,0.3549
0.896,0.39394,0.42815,0.57059,0.53529,0.36471
0.904,0.40371,0.43695,0.5549,0.55098,0.3451
0.912,0.41447,0.45064,0.53922,0.5451,0.33529
0.92,0.42522,0.46823,0.5,0.56078,0.31373
0.928,0.43793,0.4868,0.48431,0.57059,0.3098
0.936,0.44966,0.50538,0.46471,0.57059,0.31373
0.944,0.46139,0.52395,0.46078,0.56471,0.32941
0.952,0.47312,0.54154,0.46471,0.57059,0.31961
0.96,0.48387,0.55816,0.46078,0.56078,0.33529
0.968,0.4956,0.57185,0.47451,0.57451,0.3098
0.976,0.50831,0.58162,0.47451,0.58039,0.3098
0.984,0.52199,0.58749,0.47059,0.5902,0.30392
0.992,0.53568,0.59042,0.46471,0.58039,0.3098
1,0.55034,0.59042,0.47451,0.58039,0.31373
1.008,0.56696,0.5914,0.56471,0.59608,0.26471
1.016,0.5826,0.59042,0.58431,0.49412,0.4549
1.024,0.59922,0.58944,0.23922,0.084314,1.2078
1.032,0.61681,0.58651,-0.38824,-0.41765,1.5039
1.04,0.63245,0.5826,-0.50196,-0.42353,1.5039
1.048,0.64712,0.57771,0.029412,0.37451,0.82549
1.056,0.66178,0.57087,0.39412,0.60588,0.33529
1.064,0.67546,0.56305,0.47451,0.57451,0.31373
1.072,0.69013,0.5523,0.48039,0.56078,0.33529
1.08,0.70381,0.54057,0.5,0.57059,0.31373
1.088,0.71848,0.52884,0.5098,0.57059,0.3098
1.096,0.73314,0.51711,0.51961,0.57059,0.30392
1.104,0.74682,0.50733,0.52549,0.57059,0.3098
1.112,0.76051,0.49756,0.51961,0.5549,0.31373
1.12,0.77322,0.48778,0.50588,0.56078,0.3098
1.128,0.78592,0.47996,0.49412,0.5451,0.33529
1.136,0.79863,0.4741,0.4902,0.5549,0.33529
1.144,0.81232,0.47019,0.49412,0.53922,0.34902
1.152,0.826,0.46823,0.5,0.53529,0.36471
1.16,0.83969,0.46725,0.48431,0.52549,0.37451
1.168,0.85435,0.46628,0.47451,0.5098,0.40392
1.176,0.86999,0.46432,0.48039,0.5,0.42549
1.184,0.88465,0.46041,0.4902,0.48039,0.44902
1.192,0.90029,0.4565,0.4902,0.46471,0.48039
1.2,0.91496,0.45259,0.49412,0.4451,0.51569
1.208,0.92864,0.4477,0.47451,0.4098,0.57059
1.216,0.94135,0.44379,0.46078,0.38431,0.6098
1.224,0.95503,0.43891,0.4451,0.33922,0.67647
1.232,0.96774,0.43304,0.42941,0.3098,0.73137
1.24,0.98143,0.43011,0.42941,0.28431,0.77647
1.248,0.9912,0.42717,0.42549,0.26471,0.8
1.256,1,0.42522,0.42549,0.26471,0.8
1.264,1,0.42229,0.42941,0.26863,0.8
1.272,1,0.41935,0.4098,0.27843,0.77647
1.28,1,0.4174,0.40392,0.32353,0.71569
1.288,1,0.41544,0.42941,0.36471,0.65098
1.296,1,0.41349,0.47059,0.4098,0.58431
1.304,1,0.41251,0.5,0.4549,0.50588
1.312,1,0.41153,0.53922,0.50588,0.43529
1.32,1,0.41153,0.56471,0.5451,0.37059
1.328,1,0.41153,0.59608,0.57059,0.32941
1.336,1,0.41251,0.6,0.59608,0.2902
1.344,1,0.41349,0.6098,0.61569,0.25882
1.352,1,0.41349,0.61569,0.62549,0.23922
1.36,1,0.41447,0.6098,0.63529,0.22941
1.368,1,0.41544,0.5902,0.62941,0.23922
1.376,1,0.41642,0.58431,0.61569,0.2549
1.384,1,0.41642,0.58039,0.61569,0.26471
1.392,1,0.4174,0.58431,0.6,0.28431
1.4,1,0.4174,0.5902,0.58431,0.30392
1.408,1,0.41838,0.59608,0.57059,0.32941
1.416,1,0.41838,0.60588,0.56471,0.3451
1.424,1,0.41838,0.59608,0.55098,0.3549
1.432,1,0.41935,0.59608,0.55098,0.37059
1.44,1,0.42033,0.5902,0.5451,0.38039
1.448,1,0.42033,0.5902,0.53922,0.38431
1.456,1,0.42131,0.57059,0.53922,0.39412
1.464,1,0.42033,0.57059,0.5451,0.38431
1.472,1,0.41838,0.56471,0.5451,0.38431
1.48,1,0.41642,0.56471,0.53922,0.38039
1.488,1,0.41544,0.5549,0.55098,0.37451
1.496,1,0.41349,0.55098,0.55098,0.37059
1.504,1,0.41153,0.5451,0.5451,0.36471
1.512,1,0.41056,0.56078,0.55098,0.35882
1.52,1,0.41153,0.57059,0.53922,0.37451
1.528,1,0.41447,0.59608,0.52941,0.38431
1.536,1,0.41935,0.60588,0.53922,0.38039
1.544,1,0.42717,0.61569,0.53922,0.35882
1.552,1,0.43891,0.5902,0.5451,0.34902
1.56,1,0.45357,0.56471,0.56078,0.31373
1.568,1,0.47214,0.52549,0.57059,0.3098
1.576,1,0.48974,0.51569,0.57059,0.31961
1.584,1,0.50831,0.4902,0.56471,0.33529
1.592,1,0.52395,0.48431,0.56078,0.33922
1.6,1,0.53666,0.49412,0.56078,0.33529
1.608,1,0.54839,0.5,0.56471,0.33529
1.616,1,0.55914,0.5,0.57059,0.32353
1.624,1,0.56794,0.5,0.57451,0.32941
1.632,0.98925,0.5738,0.5,0.57059,0.33529
1.64,0.97849,0.57771,0.49412,0.57059,0.3451
1.648,0.95894,0.57967,0.55098,0.58431,0.3
1.656,0.93939,0.57967,0.6098,0.60588,0.25882
1.664,0.91887,0.57869,0.44902,0.3549,0.71569
1.672,0.89834,0.57674,-0.16275,-0.18627,1.5039
1.68,0.87879,0.5738,-0.50196,-0.38235,1.5039
1.688,0.85924,0.56989,-0.33725,0.094118,1.3784
1.696,0.84066,0.56403,0.21373,0.51569,0.51961
1.704,0.82307,0.55523,0.39412,0.5451,0.40392
1.712,0.80352,0.54448,0.43922,0.52549,0.4098
1.72,0.78495,0.53275,0.47451,0.53922,0.37059
1.728,0.76442,0.52102,0.5,0.53922,0.3549
1.736,0.74487,0.50929,0.51961,0.5549,0.33529
1.744,0.7263,0.49951,0.51569,0.5451,0.3549
1.752,0.70772,0.49169,0.5,0.53529,0.37059
1.76,0.6911,0.48583,0.48431,0.52941,0.37451
1.768,0.67351,0.47996,0.48039,0.53529,0.36471
1.776,0.65689,0.4741,0.48431,0.52549,0.38039
1.784,0.6393,0.46921,0.49412,0.52941,0.38039
1.792,0.62366,0.4653,0.5,0.51961,0.38039
1.8,0.60704,0.46237,0.49412,0.51569,0.4
1.808,0.59238,0.46041,0.47451,0.5,0.41961
1.816,0.57771,0.45748,0.48431,0.5,0.41961
1.824,0.565,0.45455,0.47451,0.47451,0.46078
1.832,0.5523,0.45064,0.48039,0.46471,0.47451
1.84,0.54252,0.44575,0.47451,0.44902,0.50588
1.848,0.53275,0.44086,0.48039,0.43529,0.52549
1.856,0.52493,0.43695,0.47451,0.4,0.5902
1.864,0.51711,0.43206,0.48039,0.37451,0.61961
1.872,0.51026,0.42815,0.47451,0.33922,0.67647
1.88,0.5044,0.42522,0.47451,0.3098,0.72157
1.888,0.49951,0.42326,0.47059,0.28431,0.75098
1.896,0.4956,0.42131,0.47451,0.26863,0.77647
1.904,0.49169,0.41935,0.48039,0.27843,0.77059
1.912,0.48778,0.4174,0.48039,0.27451,0.77059
1.92,0.48485,0.41544,0.48039,0.29412,0.7451
1.928,0.48192,0.41349,0.48431,0.32941,0.6902
1.936,0.47898,0.41251,0.48039,0.37059,0.62941
1.944,0.47703,0.41056,0.48039,0.4098,0.56471
1.952,0.47507,0.40958,0.48039,0.44902,0.50588
1.96,0.47312,0.4086,0.4902,0.4902,0.4549
1.968,0.47116,0.40762,0.49412,0.51569,0.41569
1.976,0.47019,0.40762,0.49412,0.52941,0.3902
1.984,0.46823,0.40762,0.5,0.5451,0.36471
1.992,0.46725,0.40762,0.5,0.56078,0.3451
2,0.4653,0.40762,0.50588,0.57059,0.33529
2.008,0.46432,0.4086,0.5,0.56471,0.32941
2.016,0.46139,0.4086,0.51569,0.56471,0.33529
2.024,0.45943,0.40762,0.5098,0.57059,0.32353
2.032,0.4565,0.40762,0.51569,0.56078,0.33922
2.04,0.45357,0.40762,0.5098,0.5451,0.35882
2.048,0.44868,0.4086,0.5098,0.5451,0.36471
2.056,0.44477,0.4086,0.5,0.5451,0.37451
2.064,0.43891,0.41056,0.5098,0.53922,0.36471
2.072,0.43402,0.41153,0.50588,0.53529,0.38039
2.08,0.42815,0.41153,0.5098,0.52941,0.38431
2.088,0.42229,0.41251,0.50588,0.53529,0.39412
2.096,0.41447,0.41251,0.5098,0.51961,0.40392
2.104,0.40665,0.41056,0.50588,0.52941,0.38039
2.112,0.39687,0.4086,0.5,0.51961,0.39412
2.12,0.3871,0.40665,0.5,0.51961,0.39412
2.128,0.37634,0.40469,0.50588,0.52941,0.38039
2.136,0.36559,0.40469,0.50588,0.53529,0.37451
2.144,0.35386,0.40567,0.5098,0.53922,0.37059
2.152,0.34213,0.4086,0.5098,0.53529,0.37451
2.16,0.33138,0.41447,0.52941,0.52549,0.3902
2.168,0.3216,0.42424,0.5451,0.51961,0.4
2.176,0.31281,0.43793,0.56471,0.51961,0.39412
2.184,0.30303,0.4565,0.57059,0.51961,0.3902
2.192,0.29521,0.47507,0.57451,0.52941,0.38039
2.2,0.28739,0.49267,0.5451,0.53922,0.3549
2.208,0.28055,0.51222,0.51961,0.56078,0.31961
2.216,0.2737,0.53079,0.49412,0.55098,0.3451
2.224,0.26784,0.54936,0.47059,0.5451,0.35882
2.232,0.26295,0.565,0.46078,0.5451,0.37451
2.24,0.25904,0.57869,0.46471,0.5451,0.37059
2.248,0.25513,0.58944,0.48039,0.5451,0.37451
2.256,0.25318,0.59824,0.4902,0.56078,0.33922
2.264,0.25122,0.60411,0.5,0.56471,0.34902
2.272,0.25024,0.60802,0.49412,0.57059,0.33922
2.28,0.25024,0.60997,0.49412,0.56471,0.34902
2.288,0.25122,0.60997,0.4902,0.56078,0.3549
2.296,0.2522,0.60997,0.6,0.5902,0.26863
2.304,0.25318,0.60899,0.61569,0.5,0.44902
2.312,0.25513,0.60899,0.2,0.1098,1.1765
2.32,0.25611,0.60606,-0.50196,-0.36667,1.5039
2.328,0.25806,0.60117,-0.50196,-0.38235,1.5039
2.336,0.25904,0.59433,-0.072549,0.37451,0.81569
2.344,0.26002,0.58456,0.3,0.52941,0.4549
2.352,0.25904,0.57478,0.4098,0.51961,0.42941
2.36,0.25904,0.56305,0.47059,0.52549,0.4
2.368,0.25709,0.55132,0.50588,0.53529,0.36471
2.376,0.25611,0.53959,0.53529,0.5451,0.34902
2.384,0.25415,0.52884,0.5451,0.5451,0.33922
2.392,0.2522,0.52102,0.53922,0.53922,0.34902
2.4,0.24927,0.5132,0.53922,0.52549,0.37059
2.408,0.24633,0.50635,0.52941,0.52549,0.35882
2.416,0.24145,0.50244,0.52549,0.51961,0.38039
2.424,0.23754,0.49853,0.51961,0.5098,0.39412
2.432,0.23265,0.49658,0.52941,0.5,0.40392
2.44,0.22678,0.49462,0.52941,0.5,0.41569
2.448,0.22092,0.49169,0.53529,0.49412,0.41961
2.456,0.21505,0.48876,0.51961,0.48431,0.42941
2.464,0.20821,0.48583,0.51961,0.47451,0.44902
2.472,0.20235,0.48094,0.52549,0.46471,0.47059
2.48,0.19648,0.47605,0.51961,0.4451,0.4902
2.488,0.19159,0.47214,0.51961,0.42549,0.51961
2.496,0.18768,0.46823,0.51961,0.40392,0.56471
2.504,0.1828,0.4653,0.51569,0.38039,0.6
2.512,0.17889,0.46237,0.51569,0.34902,0.6451
2.52,0.17498,0.46041,0.5098,0.31961,0.69608
2.528,0.17107,0.45846,0.5098,0.2902,0.7451
2.536,0.16813,0.4565,0.50588,0.26863,0.77647
2.544,0.1652,0.45357,0.51961,0.2549,0.79608
2.552,0.16325,0.44966,0.51961,0.25882,0.79608
2.56,0.16129,0.44575,0.51961,0.26471,0.78039
2.568,0.15934,0.44184,0.50588,0.2902,0.74118
2.576,0.15836,0.43793,0.5,0.31961,0.7
2.584,0.15738,0.43304,0.49412,0.35882,0.65098
2.592,0.15543,0.42913,0.5,0.40392,0.58431
2.6,0.15445,0.42424,0.50588,0.4451,0.52549
2.608,0.15347,0.41838,0.51569,0.47451,0.48039
2.616,0.15249,0.41447,0.52941,0.49412,0.4549
2.624,0.15152,0.41153,0.5451,0.50588,0.42941
2.632,0.15054,0.40958,0.5451,0.51569,0.41569
2.64,0.14956,0.4086,0.56471,0.52941,0.4
2.648,0.14858,0.40958,0.57451,0.53529,0.3902
2.656,0.14761,0.40958,0.57451,0.53922,0.3902
2.664,0.14663,0.40958,0.57059,0.52549,0.40392
2.672,0.14467,0.41056,0.57059,0.52941,0.41569
2.68,0.14272,0.41056,0.57451,0.53529,0.4098
2.688,0.14076,0.41056,0.57059,0.51961,0.41961
2.696,0.13783,0.41056,0.58039,0.51961,0.42549
2.704,0.13392,0.41056,0.57451,0.52549,0.41961
2.712,0.13099,0.41056,0.58039,0.51961,0.42549
2.72,0.12708,0.41056,0.57059,0.51961,0.41569
2.728,0.12317,0.41153,0.57451,0.51961,0.42549
2.736,0.11828,0.41056,0.57059,0.51569,0.42549
2.744,0.11241,0.41056,0.57059,0.51961,0.41569
2.752,0.10557,0.41056,0.56471,0.52941,0.4098
2.76,0.098729,0.40958,0.5549,0.52941,0.40392
2.768,0.090909,0.40958,0.5451,0.5451,0.39412
2.776,0.083089,0.40958,0.53922,0.52941,0.40392
2.784,0.075269,0.40958,0.53529,0.53529,0.4
2.792,0.066471,0.41056,0.53922,0.53922,0.38039
2.8,0.059629,0.41251,0.5451,0.51961,0.40392
2.808,0.052786,0.41642,0.56078,0.52549,0.4098
2.816,0.047898,0.42522,0.5902,0.51961,0.40392
2.824,0.042033,0.43793,0.6,0.51569,0.41569
2.832,0.037146,0.45552,0.5902,0.51961,0.39412
2.84,0.032258,0.47605,0.56078,0.53529,0.37451
2.848,0.02737,0.49658,0.52941,0.53922,0.36471
2.856,0.02346,0.51808,0.5,0.53922,0.35882
2.864,0.021505,0.53763,0.4902,0.5451,0.35882
2.872,0.01955,0.55523,0.48039,0.5451,0.36471
2.88,0.01955,0.56989,0.47451,0.5549,0.3549
2.888,0.01955,0.58065,0.48039,0.55098,0.35882
2.896,0.022483,0.58651,0.49412,0.56078,0.34902
2.904,0.026393,0.59238,0.49412,0.56471,0.33922
2.912,0.031281,0.59726,0.5,0.57059,0.33529
2.92,0.037146,0.59922,0.4902,0.57059,0.33529
2.928,0.044966,0.6002,0.48431,0.56078,0.3451
2.936,0.052786,0.6002,0.58431,0.59608,0.27451
2.944,0.062561,0.59824,0.61569,0.50588,0.42941
2.952,0.072336,0.59433,0.2902,0.1549,1.0922
2.96,0.083089,0.58944,-0.36275,-0.35294,1.5039
2.968,0.093842,0.58456,-0.50196,-0.37843,1.5039
2.976,0.10459,0.57674,-0.0058823,0.3451,0.89608
2.984,0.11535,0.56696,0.38039,0.5902,0.35882
2.992,0.12708,0.55621,0.4451,0.57059,0.33922
3,0.13881,0.54545,0.47059,0.55098,0.3549
3.008,0.15249,0.53177,0.49412,0.56078,0.33529
3.016,0.1652,0.51711,0.51569,0.57059,0.3098
3.024,0.17693,0.50342,0.52941,0.56471,0.31373
3.032,0.18866,0.49169,0.51569,0.56078,0.3098
3.04,0.20039,0.48192,0.50588,0.56471,0.31961
3.048,0.21114,0.47605,0.5098,0.55098,0.33529
3.056,0.22287,0.47214,0.50588,0.56078,0.32941
3.064,0.2346,0.47019,0.5,0.5451,0.3451
3.072,0.24731,0.46921,0.49412,0.55098,0.3549
3.08,0.26002,0.46725,0.5,0.53922,0.35882
3.088,0.2737,0.46628,0.48431,0.53529,0.37059
3.096,0.28739,0.4653,0.47451,0.53922,0.37451
3.104,0.30108,0.46334,0.47059,0.51961,0.3902
3.112,0.31476,0.46139,0.47451,0.50588,0.41961
3.12,0.32747,0.45943,0.47059,0.4902,0.4451
3.128,0.3392,0.45552,0.47451,0.46471,0.48039
3.136,0.34995,0.45259,0.47059,0.43529,0.52941
3.144,0.3607,0.44966,0.46471,0.40392,0.57059
3.152,0.37243,0.44575,0.4549,0.37451,0.61961
3.16,0.38416,0.44086,0.44902,0.33529,0.68627
3.168,0.39687,0.435,0.43529,0.30392,0.72549
3.176,0.40958,0.43011,0.42941,0.29412,0.74118
3.184,0.42033,0.42522,0.43922,0.2902,0.7451
3.192,0.43206,0.42131,0.42941,0.28431,0.7549
3.2,0.44184,0.4174,0.4451,0.30392,0.72549
3.208,0.45161,0.41447,0.4451,0.32941,0.68627
3.216,0.46237,0.41251,0.46471,0.37451,0.61569
3.224,0.4741,0.41056,0.46471,0.40392,0.56471
3.232,0.4868,0.41056,0.47451,0.4549,0.49412
3.24,0.49853,0.4086,0.4902,0.5,0.41961
3.248,0.51222,0.40665,0.5,0.53529,0.37059
3.256,0.5259,0.40567,0.4902,0.55098,0.34902
3.264,0.53959,0.40469,0.5098,0.56471,0.32941
3.272,0.55425,0.40371,0.5098,0.58431,0.3
3.28,0.56696,0.40274,0.51961,0.58431,0.30392
3.288,0.57967,0.40176,0.51569,0.5902,0.28431
3.296,0.59238,0.40176,0.51961,0.5902,0.2902
3.304,0.60508,0.40078,0.50588,0.59608,0.28431
3.312,0.61877,0.39883,0.51961,0.58431,0.3
3.32,0.63245,0.39687,0.51961,0.58039,0.3098
3.328,0.64614,0.39394,0.52941,0.57451,0.30392
3.336,0.6608,0.39198,0.51961,0.56471,0.32941
3.344,0.67449,0.39003,0.52549,0.57059,0.33529
3.352,0.68719,0.38905,0.52941,0.56471,0.33529
3.36,0.69892,0.38807,0.52941,0.57059,0.33529
3.368,0.71065,0.38807,0.52549,0.56471,0.33922
3.376,0.72141,0.38807,0.51961,0.55098,0.3549
3.384,0.73314,0.38807,0.51569,0.5451,0.3549
3.392,0.74389,0.3871,0.50588,0.55098,0.3549
3.4,0.75562,0.38514,0.5098,0.5451,0.3549
3.408,0.76735,0.38319,0.50588,0.5549,0.34902
3.416,0.7781,0.38123,0.5098,0.56078,0.33922
3.424,0.78886,0.37928,0.50588,0.5549,0.3451
3.432,0.80059,0.3783,0.51569,0.55098,0.34902
3.44,0.81036,0.38025,0.53922,0.5549,0.3549
3.448,0.82014,0.38221,0.56078,0.5451,0.36471
3.456,0.82991,0.38807,0.57451,0.53529,0.37059
3.464,0.83969,0.39687,0.5902,0.53922,0.37059
3.472,0.85142,0.4086,0.57059,0.53922,0.37451
3.48,0.86217,0.42522,0.5451,0.5549,0.33529
3.488,0.87488,0.44086,0.50588,0.56471,0.31961
3.496,0.88759,0.45748,0.5,0.56471,0.33529
3.504,0.89932,0.47703,0.4902,0.56078,0.33922
3.512,0.91202,0.4956,0.5,0.57059,0.3451
3.52,0.92278,0.5132,0.5,0.58039,0.32353
3.528,0.93451,0.52981,0.51961,0.57451,0.32353
3.536,0.94721,0.5435,0.53529,0.5902,0.30392
3.544,0.95992,0.55425,0.51961,0.59608,0.3
3.552,0.97458,0.56403,0.5,0.58431,0.3098
3.56,0.98827,0.57087,0.51569,0.5902,0.3098
3.568,0.99413,0.5738,0.58431,0.60588,0.2902
3.576,1,0.57576,0.68039,0.61569,0.2549
3.584,1,0.57674,0.57059,0.39412,0.65098
3.592,1,0.57674,0.068627,-0.14706,1.5039
3.6,1,0.57674,-0.42745,-0.39216,1.5039
3.608,1,0.5738,-0.43333,0.058824,1.4627
3.616,1,0.56989,0.30392,0.53529,0.50588
3.624,1,0.56207,0.50588,0.60588,0.32941
3.632,1,0.55132,0.52941,0.56078,0.35882
3.64,1,0.53959,0.53922,0.5451,0.36471
3.648,1,0.52688,0.5549,0.5451,0.37059
3.656,1,0.51515,0.56078,0.5451,0.35882
3.664,1,0.5044,0.58039,0.56078,0.33529
3.672,1,0.49658,0.58431,0.5549,0.33529
3.68,1,0.48974,0.56471,0.5451,0.34902
3.688,1,0.48485,0.53529,0.53529,0.37059
3.696,1,0.47996,0.53529,0.52549,0.38039
3.704,1,0.47703,0.53529,0.51961,0.4
3.712,1,0.47507,0.53529,0.51569,0.39412
3.72,1,0.47312,0.51961,0.5098,0.40392
3.728,1,0.47019,0.5098,0.50588,0.41961
3.736,1,0.46921,0.5,0.5,0.42549
3.744,1,0.46725,0.51569,0.4902,0.42941
3.752,1,0.4653,0.5098,0.47451,0.4549
3.76,1,0.46334,0.5098,0.44902,0.49412
3.768,1,0.46041,0.49412,0.42941,0.52941
3.776,1,0.45846,0.47451,0.40392,0.57451
3.784,1,0.45552,0.4549,0.37059,0.63529
3.792,1,0.45259,0.44902,0.32941,0.69608
3.8,1,0.44868,0.43922,0.2902,0.76078
3.808,1,0.44477,0.43922,0.26471,0.7902
3.816,1,0.43988,0.43922,0.2451,0.82549
3.824,1,0.43597,0.43529,0.24902,0.81176
3.832,1,0.43206,0.4451,0.26471,0.79608
3.84,1,0.42717,0.43922,0.28431,0.76078
3.848,1,0.42229,0.44902,0.31961,0.70588
3.856,1,0.4174,0.4549,0.36471,0.63529
3.864,1,0.41447,0.46078,0.40392,0.58039
3.872,1,0.41056,0.46078,0.44902,0.50588
3.88,1,0.40762,0.46471,0.48039,0.46078
3.888,1,0.40665,0.47451,0.51569,0.40392
3.896,1,0.40567,0.4902,0.53529,0.38039
3.904,1,0.40469,0.5,0.5451,0.3549
3.912,1,0.40469,0.50588,0.55098,0.3451
3.92,0.99218,0.40371,0.50588,0.56078,0.33529
3.928,0.98338,0.40176,0.5098,0.56471,0.32941
